DateTime,Open,High,Low,Close,
20160831091000,22945.0,22945.0,22945.0,22945.0,
20160831091500,22945.0,22959.0,22916.0,22919.0,
20160831092000,22917.0,22932.0,22897.0,22908.0,
20160831092500,22908.0,22911.0,22886.0,22897.0,
20160831093000,22899.0,22941.0,22895.0,22941.0,
20160831093500,22941.0,22973.0,22941.0,22955.0,
20160831094000,22954.0,22961.0,22916.0,22930.0,
20160831094500,22930.0,22939.0,22910.0,22913.0,
20160831095000,22913.0,22965.0,22910.0,22945.0,
20160831095500,22944.0,22960.0,22931.0,22955.0,
20160831100000,22956.0,22957.0,22913.0,22924.0,
20160831100500,22923.0,22933.0,22917.0,22927.0,
20160831101000,22927.0,22938.0,22918.0,22929.0,
20160831101500,22929.0,22944.0,22927.0,22936.0,
20160831102000,22935.0,22938.0,22916.0,22923.0,
20160831102500,22923.0,22936.0,22920.0,22929.0,
20160831103000,22928.0,22943.0,22927.0,22937.0,
20160831103500,22937.0,22962.0,22933.0,22959.0,
20160831104000,22960.0,22964.0,22948.0,22953.0,
20160831104500,22953.0,22956.0,22939.0,22943.0,
20160831105000,22941.0,22943.0,22934.0,22940.0,
20160831105500,22940.0,22952.0,22938.0,22946.0,
20160831110000,22945.0,22949.0,22937.0,22937.0,
20160831110500,22937.0,22950.0,22933.0,22945.0,
20160831111000,22948.0,22955.0,22942.0,22944.0,
20160831111500,22945.0,22955.0,22939.0,22943.0,
20160831112000,22941.0,22944.0,22925.0,22927.0,
20160831112500,22927.0,22941.0,22926.0,22938.0,
20160831113000,22938.0,22939.0,22928.0,22935.0,
20160831113500,22933.0,22936.0,22930.0,22931.0,
20160831114000,22930.0,22937.0,22928.0,22933.0,
20160831114500,22933.0,22935.0,22923.0,22926.0,
20160831115000,22923.0,22933.0,22923.0,22932.0,
20160831115500,22931.0,22938.0,22927.0,22935.0,
20160831125500,22935.0,22935.0,22935.0,22935.0,
20160831130000,22936.0,22947.0,22927.0,22930.0,
20160831130500,22929.0,22933.0,22921.0,22928.0,
20160831131000,22928.0,22928.0,22918.0,22920.0,
20160831131500,22918.0,22932.0,22906.0,22928.0,
20160831132000,22928.0,22930.0,22914.0,22917.0,
20160831132500,22918.0,22922.0,22912.0,22917.0,
20160831133000,22919.0,22925.0,22913.0,22916.0,
20160831133500,22918.0,22924.0,22915.0,22916.0,
20160831134000,22916.0,22917.0,22889.0,22905.0,
20160831134500,22903.0,22909.0,22894.0,22905.0,
20160831135000,22904.0,22912.0,22898.0,22907.0,
20160831135500,22906.0,22917.0,22900.0,22914.0,
20160831140000,22913.0,22918.0,22908.0,22912.0,
20160831140500,22912.0,22915.0,22902.0,22907.0,
20160831141000,22907.0,22911.0,22895.0,22896.0,
20160831141500,22897.0,22909.0,22895.0,22907.0,
20160831142000,22908.0,22917.0,22906.0,22906.0,
20160831142500,22906.0,22912.0,22903.0,22912.0,
20160831143000,22912.0,22927.0,22912.0,22918.0,
20160831143500,22918.0,22919.0,22907.0,22909.0,
20160831144000,22907.0,22910.0,22891.0,22894.0,
20160831144500,22895.0,22898.0,22858.0,22873.0,
20160831145000,22872.0,22872.0,22846.0,22856.0,
20160831145500,22858.0,22867.0,22853.0,22854.0,
20160831150000,22856.0,22878.0,22851.0,22871.0,
20160831150500,22872.0,22891.0,22870.0,22880.0,
20160831151000,22881.0,22890.0,22879.0,22882.0,
20160831151500,22884.0,22885.0,22865.0,22870.0,
20160831152000,22869.0,22894.0,22868.0,22890.0,
20160831152500,22891.0,22906.0,22883.0,22900.0,
20160831153000,22900.0,22903.0,22890.0,22894.0,
20160831153500,22895.0,22909.0,22889.0,22906.0,
20160831154000,22905.0,22920.0,22903.0,22918.0,
20160831154500,22918.0,22931.0,22914.0,22919.0,
20160831155000,22918.0,22920.0,22912.0,22916.0,
20160831155500,22916.0,22943.0,22911.0,22940.0,
20160831160000,22940.0,22944.0,22923.0,22924.0,
20160831160500,22924.0,22930.0,22908.0,22910.0,
20160831161000,22910.0,22926.0,22906.0,22917.0,
20160831161500,22917.0,22930.0,22916.0,22928.0,
20160831162000,22929.0,22936.0,22926.0,22930.0,
20160831162500,22931.0,22934.0,22919.0,22929.0,
20160901091000,22878.0,22878.0,22878.0,22878.0,
20160901091500,22878.0,22880.0,22831.0,22841.0,
20160901092000,22842.0,22842.0,22770.0,22773.0,
